County,Year,VMT_100M,fatalities,speed_rate,log_speed_rate,distract_rate,log_distract_rate,vru_rate,log_vru_rate,c_speed,c_distract,c_vru
BRONX,2019,33.95595,27.0,27.09392610131656,3.2993095736622644,168.86583941842298,5.129104550062493,15.048908954100828,2.711305493822883,-0.3853006367859626,0.30823612211984486,0.10400983834243238
BRONX,2020,28.4382,55.0,43.497830383076284,3.772711060599657,146.14145761686746,4.984575040426287,14.733703258293422,2.690137608129307,0.08810085015142999,0.16370661248363838,0.08284195264885641
BRONX,2021,30.56145,47.0,49.441371400898845,3.9007875514560446,123.61978898252536,4.81721063724476,12.72845365648554,2.543839932801751,0.2161773410078176,-0.0036577906978880748,-0.06345572267869937
BRONX,2022,31.64185,52.0,44.68765258668504,3.7996972349756146,119.52524899776719,4.7835276377375,12.736297024352242,2.5444559504657795,0.11508702452738762,-0.0373407902051488,-0.06283970501467095
BRONX,2023,32.9303,44.0,41.724490818486316,3.73108826620169,102.94470442115619,4.634191993793891,13.452656064475573,2.5991765634645314,0.0464780557534632,-0.18667643414875723,-0.008119092015919094
BRONX,2024,31.70292,52.0,36.74740370918515,3.604067575794091,97.18347710557892,4.576600708390958,12.86947700716527,2.554858384198452,-0.0805426346541358,-0.24426771955169002,-0.05243727128199849
KINGS,2019,47.158,71.0,30.959752321981423,3.4326880487535263,244.9637389202256,5.5011101951837516,16.81581067899402,2.822319555685992,-0.2231772310487372,0.2530835447526716,0.06711571141059247
KINGS,2020,38.15916,59.0,41.143463325712624,3.717065064583165,193.21704146527335,5.2638141242304615,14.465727232989405,2.6717822125179063,0.06119978478090138,0.015787473799381502,-0.0834216317574934
KINGS,2021,41.41655,80.0,45.416626928124145,3.815878269897778,189.2480180024652,5.243058419356324,15.380325015000041,2.7330890961689107,0.1600129900955145,-0.004968231074755636,-0.022114748106488946
KINGS,2022,43.49705,69.0,38.922179780008065,3.661564262430066,181.36862155019708,5.20053154339202,16.276965909182348,2.7897509739906505,0.00569898262780244,-0.0474951070390599,0.03454712971525087
KINGS,2023,44.0044,62.0,40.086900400869006,3.691049607648142,181.41367681413678,5.2007799307272045,14.998500149985002,2.7079502061018768,0.03518432784587855,-0.047246719703875506,-0.047253638173522905
KINGS,2024,42.66096,64.0,37.223728673710106,3.6169464255009025,160.59179165213345,5.078865689696721,16.549088440578927,2.8063310211870633,-0.038918854301360994,-0.16916096073435938,0.051127176911663685
NASSAU,2019,95.77965,74.0,20.43231521518402,3.0171177266958487,24.629448948706745,3.2039428387074476,2.7563266309701486,1.0138988624460885,-0.06964957476087186,0.20248342050147716,-0.15270734559104837
NASSAU,2020,79.23168,78.0,24.182246293401832,3.1856187396890987,18.288139289738652,2.9062527234789752,2.953364108901894,1.0829448965159942,0.09885143823237819,-0.09520669472699517,-0.08366131152114265
NASSAU,2021,86.05605,81.0,23.275527984377625,3.1474025075192706,19.45243826552578,2.9679724229028728,3.2072120437784446,1.1654020375706025,0.06063520606255013,-0.03348699530309762,-0.0012041704665344266
NASSAU,2022,89.41405,81.0,21.3165604287022,3.0594842555461463,22.915861657088566,3.1318293195708984,3.3775452515572217,1.2171491887068684,-0.027283045910574177,0.130369901364928,0.05054298066973151
NASSAU,2023,92.2282,67.0,20.93719708288788,3.0415273417976603,18.226529412912754,2.9028781927777616,3.1985878505706498,1.1627094157089657,-0.04523995965906025,-0.0985812254282088,-0.0038967923281711947
NASSAU,2024,87.73752,67.0,21.530127589656054,3.069453237492296,18.099440239477932,2.8958810117978673,3.886592645882856,1.3575328472743031,-0.017314063964424697,-0.10557840640810312,0.19092663923716624
NEW YORK,2019,30.9885,37.0,18.877970860157802,2.9379956793142004,245.54270132468497,5.503470868258867,22.68583506784775,3.121740723893009,-0.325111680937765,0.41488250497110446,0.08730362388220403
NEW YORK,2020,24.12306,28.0,28.022978842650975,3.3330248465591064,166.56261684877458,5.115371315891022,20.89287179984629,3.039408038587511,0.06991748630714101,0.026782952603260135,0.00497093857670583
NEW YORK,2021,26.7618,46.0,31.500123310091247,3.4499914604299966,157.12694960727603,5.0570540748351895,20.29011501468511,3.010133822362077,0.18688410017803125,-0.03153428845257267,-0.024303277648728194
NEW YORK,2022,27.2801,35.0,27.492567842493244,3.3139157078726638,149.74285284877988,5.008919508636411,20.014589389335082,2.996461477087213,0.05080834762069841,-0.07966885465135132,-0.037975622923592134
NEW YORK,2023,28.0174,33.0,26.91184763753953,3.2925666222681027,136.8078408417626,4.918577319640701,19.630658091043426,2.977092532486663,0.029459262016137355,-0.17001104364706077,-0.057344567524141965
NEW YORK,2024,26.49108,41.0,25.820011868145805,3.251149845067725,138.12196407243493,4.9281370924643815,21.365682335337027,3.0617860056483575,-0.011957515184240375,-0.16045127082338073,0.027348905637552434
PUTNAM,2019,12.4392,6.0,36.175959868801854,3.588394806202896,19.052672197568977,2.947207364573662,0.5627371535146954,-0.5749426275061562,-0.08419527279426653,0.1574456509449842,0.5088000351419666
PUTNAM,2020,10.2114,5.0,32.80647119885618,3.4906257885785172,15.277043304541984,2.726351264002988,0.19585952954541005,-1.6303575626866038,-0.18196429041864537,-0.06341044962568976,-0.546614900038481
PUTNAM,2021,11.158049999999998,6.0,39.6126563333199,3.679148671574601,14.787530079180506,2.6937842633974833,0.26886418325782735,-1.3135489218349878,0.006558592577438294,-0.09597745023119453,-0.22980625918686504
PUTNAM,2022,11.285800000000002,12.0,41.37943256127168,3.7227839593493215,14.97456981339382,2.7063534166034975,0.354427687890978,-1.0372509371996852,0.05019388035215888,-0.08340829702518038,0.046491725448437604
PUTNAM,2023,12.1837,4.0,44.2394346544974,3.789616578074954,16.90783587908435,2.8277771759555375,0.5745381123960701,-0.5541888437787302,0.11702649907779117,0.038015462326859595,0.5295538188693926
PUTNAM,2024,12.07068,9.0,43.16243989568111,3.764970670202685,17.06614706048044,2.837096797238899,0.24853612224000637,-1.3921670828825723,0.09238059120552222,0.04733508361022132,-0.3084244202344495
QUEENS,2019,77.33985,68.0,23.351480511017282,3.1506603872876355,188.51859681651825,5.239196658873354,7.538157883678337,2.0199778396611974,-0.10086432214709973,0.5488376884084261,0.03766013408674662
QUEENS,2020,64.65024,84.0,25.846771798526966,3.252185711087434,124.14493743565376,4.821449733318902,5.893249584224281,1.7738075576187413,0.0006610016526988893,0.13109076285397414,-0.20851014795570944
QUEENS,2021,68.80615,61.0,26.77086277898124,3.287314086336077,104.1767342018119,4.646088824175591,7.005187763012463,1.946650983571425,0.03578937690134154,-0.04427014628933712,-0.035666722003025786
QUEENS,2022,74.0512,66.0,25.03673134263861,3.220344000276585,89.58666436195497,4.495206473657782,6.927639255001945,1.935519099321554,-0.03118070915815041,-0.19515249680714586,-0.04679860625289667
QUEENS,2023,73.657,78.0,28.2525761298994,3.3411846438737713,84.73057550538306,4.43947652241418,8.471699906322549,2.136731185849565,0.08965993443903608,-0.25088244805074744,0.15441348027511403
QUEENS,2024,71.62254,71.0,25.98344040856412,3.257459427746907,90.08337319508635,4.500735610349756,8.014236858955295,2.0812195674242226,0.005934718312171849,-0.18962336011517156,0.0989018618497719
RICHMOND,2019,21.27585,8.0,16.215568355670868,2.785971790373547,106.08271819927289,4.664219150159723,4.042141677065781,1.3967746695956949,-0.03791015536781339,0.28918084828454305,0.026834613552124686
RICHMOND,2020,17.85348,9.0,16.187320343148787,2.7842282409054286,75.89556769884638,4.329358286106798,3.808781257211479,1.3373092579691033,-0.03965370483593178,-0.0456800157683821,-0.032630798074466894
RICHMOND,2021,19.2939,11.0,19.28070530063906,2.959104870496649,75.51609576083632,4.3243458224187075,4.1463882366965725,1.422237650897384,0.13522292475528852,-0.05069247945647248,0.0522975948538138
RICHMOND,2022,19.877900000000004,14.0,13.432002374496298,2.597640096554281,76.01406587214946,4.330918400426771,4.678562624824553,1.5429909313072878,-0.22624184918707924,-0.044119901448408605,0.17305087526371765
RICHMOND,2023,20.22465,12.0,18.739508471098386,2.9306340476028137,70.9530202005968,4.262017970714108,3.2633444830936504,1.1827525845468128,0.10675210186145323,-0.11302033116107157,-0.1871874714967574
