Year,national_rr,cd_fatality_irr,cd_crash_irr
2019,1.0,1.0,1.0
2020,1.2072,1.5947,1.0233
2021,1.2432,1.0327,0.9718
2022,1.2072,1.5752,0.9995
2023,1.1351,1.3584,0.9728
2024,1.0811,1.4493,1.0239
