Year,IRR,CI_lo,CI_hi,p
2020,1.1091,1.024,1.2013,0.011
2021,0.9968,0.9052,1.0977,0.9488
2022,0.9359,0.8379,1.0454,0.2407
2023,1.0199,0.9274,1.1216,0.6849
2024,1.0917,0.9721,1.226,0.1384
