Year,IRR,CI_lo,CI_hi,p
2020,1.311,1.0838,1.5858,0.0053
2021,1.3326,1.179,1.5062,0.0
2022,1.2814,1.0931,1.5022,0.0022
2023,1.1979,1.0,1.4349,0.05
2024,1.195,1.0282,1.3889,0.0202
