Year,IRR,t,p_wcb
2020,1.2949622737373434,3.407457938575167,0.0068359375
2021,1.282196315563349,2.9267679533780235,0.0166015625
2022,1.3070823270118364,3.1418552119154475,0.02734375
2023,1.2005530485160025,1.785006582557799,0.2529296875
2024,1.2236082680004656,2.5854421556118043,0.01953125
