County,Year,crashes,fatalities,serious_injuries,VMT_100M,crash_rate_per100M,fatal_rate_per100M,serinj_rate_per100M
BRONX,2019,22838.0,27.0,749.0,33.95595,672.5772655455082,0.7951478312342902,22.05798983683272
BRONX,2020,16710.0,55.0,790.0,28.438200000000002,587.5899318522269,1.9340183274609504,27.77953597625729
BRONX,2021,17347.0,47.0,655.0,30.56145,567.6105027739194,1.5378851461563503,21.432229164519352
BRONX,2022,16841.0,52.0,632.0,31.64185,532.238159273241,1.6433931644325472,19.973547690795574
BRONX,2023,15629.0,44.0,646.0,32.9303,474.6084912679204,1.3361554556138266,19.61719146196664
BRONX,2024,14733.0,52.0,675.0,31.70292,464.7205998690342,1.6402274616975343,21.291414166266076
KINGS,2019,38012.0,71.0,1083.0,47.158,806.056236481615,1.5055769964799186,22.96535052377115
KINGS,2020,26868.0,59.0,1032.0,38.15916,704.1035494492018,1.5461556281637228,27.04462047906715
KINGS,2021,30292.0,80.0,966.0,41.41655,731.3984385469093,1.931594978335955,23.324009363406656
KINGS,2022,29561.0,69.0,872.0,43.49705,679.6093068380499,1.5863144741999744,20.04733654351272
KINGS,2023,28981.0,62.0,934.0,44.0044,658.5932315859324,1.4089500140895002,21.225150212251503
KINGS,2024,27115.0,64.0,925.0,42.66096,635.5928230400816,1.500200651837183,21.68258754608429
NASSAU,2019,41862.0,74.0,720.0,95.77964999999999,437.0657023699711,0.772606707165875,7.517254448100405
NASSAU,2020,29672.0,78.0,585.0,79.23168,374.49666598007263,0.984454702967298,7.383410272254735
NASSAU,2021,36665.0,81.0,668.0,86.05605,426.0595274823792,0.9412470128480216,7.762382772623192
NASSAU,2022,40572.0,81.0,747.0,89.41405,453.7541918747669,0.9058978985964732,8.35439173150081
NASSAU,2023,39104.0,67.0,744.0,92.22819999999999,423.9917942668295,0.726458935553334,8.066946985845977
NASSAU,2024,39177.0,67.0,873.0,87.73752,446.5250442456089,0.7636413703054291,9.950133078755815
NEW YORK,2019,22363.0,37.0,662.0,30.9885,721.6548074285622,1.193991319360408,21.362763605853782
NEW YORK,2020,12934.0,28.0,615.0,24.12306,536.1674679746268,1.1607150999914606,25.49427808909815
NEW YORK,2021,14764.0,46.0,582.0,26.7618,551.6818749112541,1.7188679386289412,21.747416093087907
NEW YORK,2022,14974.0,35.0,505.0,27.2801,548.8982811646584,1.2829864993163511,18.511662347278783
NEW YORK,2023,14399.0,33.0,595.0,28.0174,513.9306288235168,1.1778394854626055,21.236802843946972
NEW YORK,2024,14022.0,41.0,538.0,26.49108,529.310243296989,1.5476907698742368,20.30872278517901
PUTNAM,2019,2578.0,6.0,80.0,12.4392,207.2480545372693,0.4823461315840247,6.431281754453663
PUTNAM,2020,1873.0,5.0,81.0,10.211400000000001,183.4224494192765,0.4896488238635251,7.932310946589107
PUTNAM,2021,2241.0,6.0,80.0,11.158049999999998,200.84154489359705,0.5377283665156547,7.169711553542062
PUTNAM,2022,2482.0,12.0,82.0,11.285800000000002,219.92238033635184,1.063283063672934,7.26576760176505
PUTNAM,2023,2566.0,4.0,108.0,12.1837,210.60925662975944,0.3283074927977544,8.864302305539368
PUTNAM,2024,2483.0,9.0,122.0,12.07068,205.70506384064527,0.7456083667200192,10.107135637760258
QUEENS,2019,43830.0,68.0,945.0,77.33985,566.7194854916321,0.8792362540139398,12.218797941811369
QUEENS,2020,27418.0,84.0,906.0,64.65024,424.0974202106597,1.2992991209313376,14.013869090045144
QUEENS,2021,29491.0,61.0,672.0,68.80615,428.60994257054057,0.8865486588044819,9.766568831419866
QUEENS,2022,29228.0,66.0,713.0,74.0512,394.6998833239705,0.891275225789724,9.628473272546564
QUEENS,2023,28374.0,78.0,837.0,73.657,385.2179697788398,1.0589624882903186,11.363482085884574
QUEENS,2024,27983.0,71.0,940.0,71.62254,390.7010279166307,0.9913080435293136,13.124360012923306
RICHMOND,2019,7181.0,8.0,230.0,21.275850000000002,337.5188300349927,0.3760131792619331,10.810378903780576
RICHMOND,2020,4393.0,9.0,171.0,17.85348,246.0584715136769,0.5041034016897545,9.577964632105337
RICHMOND,2021,5165.0,11.0,151.0,19.2939,267.70119053172243,0.5701283825457787,7.82630779676478
RICHMOND,2022,5455.0,14.0,170.0,19.877900000000004,274.425366864709,0.7042997499735888,8.552211249679292
RICHMOND,2023,5374.0,12.0,191.0,20.22465,265.7153523052315,0.5933353605624819,9.443921155619504
RICHMOND,2024,5073.0,13.0,133.0,19.423619999999996,261.17685580751686,0.6692882171294537,6.847333298324411
ROCKLAND,2019,7849.0,14.0,203.0,27.3531,286.95102200481847,0.5118249851022371,7.421462283982437
ROCKLAND,2020,5992.0,16.0,169.0,22.43946,267.0295987514851,0.713029636185541,7.531375532209776
ROCKLAND,2021,8180.0,16.0,191.0,25.12295,325.5987055660263,0.6368678837477287,7.602610362238511
ROCKLAND,2022,9702.0,20.0,238.0,26.7691,362.4328049878404,0.7471300865550204,8.890848030004744
ROCKLAND,2023,9711.0,19.0,287.0,26.86765,361.4383840789946,0.7071701469983418,10.681991167817058
ROCKLAND,2024,9593.0,17.0,278.0,27.18282,352.906725645095,0.6253950105250301,10.227047819174022
SUFFOLK,2019,42485.0,115.0,886.0,138.74745000000001,306.2038257279683,0.8288440616386102,6.38570294445051
SUFFOLK,2020,32167.0,112.0,734.0,119.00855999999997,270.291481553932,0.9411087740243222,6.167623572623683
SUFFOLK,2021,39037.0,151.0,889.0,129.54215,301.34593257870125,1.16564376922878,6.862631197644937
SUFFOLK,2022,37475.0,162.0,789.0,137.3641,272.81509506486776,1.1793474423084342,5.743858839391078
SUFFOLK,2023,40905.0,155.0,883.0,130.3488,313.8118647812638,1.189117199391172,6.77413217459616
SUFFOLK,2024,40801.0,118.0,967.0,126.56645999999999,322.36818506261454,0.9323165078647218,7.640254772077847
WESTCHESTER,2019,23032.0,30.0,501.0,79.93135,288.1472663729563,0.3753220732541112,6.267878623343657
WESTCHESTER,2020,16207.0,44.0,462.0,65.49204,247.4651881358406,0.6718373713813159,7.054292399503817
WESTCHESTER,2021,19704.0,42.0,561.0,71.9561,273.83362911553013,0.5836892216226282,7.796420317387962
WESTCHESTER,2022,21257.0,35.0,574.0,74.28115,286.1695059917624,0.4711827967122211,7.727397866080426
WESTCHESTER,2023,21489.0,39.0,663.0,80.957,265.43720740640094,0.4817372185234137,8.189532714898032
WESTCHESTER,2024,20898.0,43.0,643.0,78.97548,264.6137763265256,0.5444727907953202,8.141767546078858
