Year,IRR,t,p_wcb
2020,1.3109575294444547,2.78860231257097,0.0029296875
2021,1.3325629674282469,4.59450616121795,0.0029296875
2022,1.2814015014805722,3.0572631741289364,0.001953125
2023,1.1978670020455797,1.959635164272448,0.08984375
2024,1.1950223739267043,2.32269722227444,0.0078125
