County,Year,Cract,Crart,Kilct,Kilrt,Serct,Serrt
BRONX,2019,22838.0,672.5772655455082,27.0,0.7951478312342902,749.0,22.057989836832718
BRONX,2020,16710.0,587.5899318522269,55.0,1.9340183274609504,790.0,27.779535976257286
BRONX,2021,17347.0,567.6105027739194,47.0,1.5378851461563505,655.0,21.432229164519352
BRONX,2022,16841.0,532.238159273241,52.0,1.6433931644325472,632.0,19.973547690795574
BRONX,2023,15629.0,474.6084912679204,44.0,1.3361554556138266,646.0,19.617191461966637
BRONX,2024,14733.0,464.7205998690342,52.0,1.6402274616975345,675.0,21.291414166266073
KINGS,2019,38012.0,806.056236481615,71.0,1.5055769964799186,1083.0,22.96535052377115
KINGS,2020,26868.0,704.1035494492018,59.0,1.5461556281637228,1032.0,27.04462047906715
KINGS,2021,30292.0,731.3984385469093,80.0,1.931594978335955,966.0,23.324009363406656
KINGS,2022,29561.0,679.6093068380499,69.0,1.5863144741999744,872.0,20.04733654351272
KINGS,2023,28981.0,658.5932315859324,62.0,1.4089500140895002,934.0,21.225150212251503
KINGS,2024,27115.0,635.5928230400816,64.0,1.500200651837183,925.0,21.68258754608429
NASSAU,2019,41862.0,437.06570236997106,74.0,0.772606707165875,720.0,7.517254448100405
NASSAU,2020,29672.0,374.49666598007263,78.0,0.984454702967298,585.0,7.383410272254735
NASSAU,2021,36665.0,426.0595274823792,81.0,0.9412470128480217,668.0,7.762382772623192
NASSAU,2022,40572.0,453.7541918747669,81.0,0.9058978985964733,747.0,8.35439173150081
NASSAU,2023,39104.0,423.99179426682946,67.0,0.726458935553334,744.0,8.066946985845977
NASSAU,2024,39177.0,446.5250442456089,67.0,0.7636413703054291,873.0,9.950133078755815
NEW YORK,2019,22363.0,721.6548074285622,37.0,1.193991319360408,662.0,21.362763605853782
NEW YORK,2020,12934.0,536.1674679746268,28.0,1.1607150999914606,615.0,25.49427808909815
NEW YORK,2021,14764.0,551.6818749112541,46.0,1.7188679386289412,582.0,21.747416093087907
NEW YORK,2022,14974.0,548.8982811646584,35.0,1.2829864993163513,505.0,18.511662347278786
NEW YORK,2023,14399.0,513.9306288235168,33.0,1.1778394854626055,595.0,21.236802843946975
NEW YORK,2024,14022.0,529.310243296989,41.0,1.5476907698742368,538.0,20.30872278517901
PUTNAM,2019,2578.0,207.2480545372693,6.0,0.48234613158402473,80.0,6.4312817544536625
PUTNAM,2020,1873.0,183.42244941927652,5.0,0.4896488238635251,81.0,7.932310946589107
PUTNAM,2021,2241.0,200.84154489359702,6.0,0.5377283665156547,80.0,7.169711553542062
PUTNAM,2022,2482.0,219.92238033635186,12.0,1.063283063672934,82.0,7.26576760176505
PUTNAM,2023,2566.0,210.60925662975944,4.0,0.3283074927977544,108.0,8.864302305539368
PUTNAM,2024,2483.0,205.70506384064527,9.0,0.7456083667200192,122.0,10.107135637760258
QUEENS,2019,43830.0,566.7194854916321,68.0,0.8792362540139398,945.0,12.218797941811369
QUEENS,2020,27418.0,424.0974202106597,84.0,1.2992991209313376,906.0,14.013869090045143
QUEENS,2021,29491.0,428.60994257054057,61.0,0.8865486588044819,672.0,9.766568831419866
QUEENS,2022,29228.0,394.6998833239705,66.0,0.891275225789724,713.0,9.628473272546563
QUEENS,2023,28374.0,385.2179697788398,78.0,1.0589624882903186,837.0,11.363482085884574
QUEENS,2024,27983.0,390.7010279166307,71.0,0.9913080435293136,940.0,13.124360012923306
RICHMOND,2019,7181.0,337.5188300349927,8.0,0.3760131792619331,230.0,10.810378903780576
RICHMOND,2020,4393.0,246.05847151367686,9.0,0.5041034016897545,171.0,9.577964632105337
RICHMOND,2021,5165.0,267.70119053172243,11.0,0.5701283825457787,151.0,7.82630779676478
RICHMOND,2022,5455.0,274.425366864709,14.0,0.7042997499735888,170.0,8.552211249679292
RICHMOND,2023,5374.0,265.7153523052315,12.0,0.5933353605624819,191.0,9.443921155619504
RICHMOND,2024,5073.0,261.17685580751686,13.0,0.6692882171294537,133.0,6.847333298324411
ROCKLAND,2019,7849.0,286.95102200481847,14.0,0.5118249851022371,203.0,7.421462283982437
ROCKLAND,2020,5992.0,267.0295987514851,16.0,0.713029636185541,169.0,7.531375532209776
ROCKLAND,2021,8180.0,325.5987055660263,16.0,0.6368678837477287,191.0,7.6026103622385115
ROCKLAND,2022,9702.0,362.4328049878404,20.0,0.7471300865550204,238.0,8.890848030004744
ROCKLAND,2023,9711.0,361.4383840789946,19.0,0.7071701469983418,287.0,10.681991167817058
ROCKLAND,2024,9593.0,352.906725645095,17.0,0.6253950105250301,278.0,10.227047819174022
SUFFOLK,2019,42485.0,306.2038257279683,115.0,0.8288440616386102,886.0,6.38570294445051
SUFFOLK,2020,32167.0,270.29148155393193,112.0,0.9411087740243222,734.0,6.167623572623683
SUFFOLK,2021,39037.0,301.34593257870125,151.0,1.16564376922878,889.0,6.862631197644937
SUFFOLK,2022,37475.0,272.81509506486776,162.0,1.1793474423084342,789.0,5.743858839391078
SUFFOLK,2023,40905.0,313.8118647812638,155.0,1.189117199391172,883.0,6.77413217459616
SUFFOLK,2024,40801.0,322.36818506261454,118.0,0.9323165078647218,967.0,7.6402547720778475
WESTCHESTER,2019,23032.0,288.1472663729563,30.0,0.3753220732541112,501.0,6.267878623343657
WESTCHESTER,2020,16207.0,247.4651881358406,44.0,0.6718373713813159,462.0,7.054292399503817
WESTCHESTER,2021,19704.0,273.83362911553013,42.0,0.5836892216226282,561.0,7.7964203173879625
WESTCHESTER,2022,21257.0,286.1695059917624,35.0,0.4711827967122211,574.0,7.727397866080426
WESTCHESTER,2023,21489.0,265.43720740640094,39.0,0.4817372185234137,663.0,8.189532714898032
WESTCHESTER,2024,20898.0,264.6137763265256,43.0,0.5444727907953202,643.0,8.141767546078858
