"YEAR","Severity Class of Crash","County","Type of Factor","Contributing Factors","Total"
"2019","","BRONX","Crashes With Human Factors","Aggressive Driving/Road Rage","251"
"2019","","BRONX","Crashes With Human Factors","Alcohol Involvement","375"
"2019","","BRONX","Crashes With Human Factors","Backing Unsafely","752"
"2019","","BRONX","Crashes With Human Factors","Cell Phone (hand held)","37"
"2019","","BRONX","Crashes With Human Factors","Cell Phone (hands-free)","6"
"2019","","BRONX","Crashes With Human Factors","Driver Inattention/Distraction","5,734"
"2019","","BRONX","Crashes With Human Factors","Driver Inexperience","699"
"2019","","BRONX","Crashes With Human Factors","Drugs (Illegal)","28"
"2019","","BRONX","Crashes With Human Factors","Eating or Drinking","7"
"2019","","BRONX","Crashes With Human Factors","Failure to Keep Right","52"
"2019","","BRONX","Crashes With Human Factors","Failure to Yield Right-of-Way","1,895"
"2019","","BRONX","Crashes With Human Factors","Fatigued/Drowsy","71"
"2019","","BRONX","Crashes With Human Factors","Fell Asleep","127"
"2019","","BRONX","Crashes With Human Factors","Following Too Closely","2,522"
"2019","","BRONX","Crashes With Human Factors","Illness","43"
"2019","","BRONX","Crashes With Human Factors","Listening/Using Headphones","8"
"2019","","BRONX","Crashes With Human Factors","Lost Consciousness","48"
"2019","","BRONX","Crashes With Human Factors","Other Electronic Device","12"
"2019","","BRONX","Crashes With Human Factors","Outside Car Distraction","96"
"2019","","BRONX","Crashes With Human Factors","Passenger Distraction","96"
"2019","","BRONX","Crashes With Human Factors","Passing/Lane Changing/Improper Use","2,924"
"2019","","BRONX","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","511"
"2019","","BRONX","Crashes With Human Factors","Physical Disability","12"
"2019","","BRONX","Crashes With Human Factors","Prescription Medication","10"
"2019","","BRONX","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","545"
"2019","","BRONX","Crashes With Human Factors","Texting","3"
"2019","","BRONX","Crashes With Human Factors","Traffic Control Device Disregarded","644"
"2019","","BRONX","Crashes With Human Factors","Turning Improperly","718"
"2019","","BRONX","Crashes With Human Factors","Unsafe Speed","920"
"2019","","BRONX","Crashes With Human Factors","Using On Board Navigation Device","15"
"2019","","BRONX","Crashes With Human Factors","Vehicle Vandalism","1"
"2019","","BRONX","Crashes With Human Factors","Other Human","3"
"2019","","BRONX","Crashes With Vehicular Factors","Accelerator Defective","13"
"2019","","BRONX","Crashes With Vehicular Factors","Brakes Defective","163"
"2019","","BRONX","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","29"
"2019","","BRONX","Crashes With Vehicular Factors","Headlights Defective","4"
"2019","","BRONX","Crashes With Vehicular Factors","Other Lighting Defects","5"
"2019","","BRONX","Crashes With Vehicular Factors","Oversized Vehicle","153"
"2019","","BRONX","Crashes With Vehicular Factors","Steering Failure","71"
"2019","","BRONX","Crashes With Vehicular Factors","Tinted Windows","4"
"2019","","BRONX","Crashes With Vehicular Factors","Tire Failure/Inadequate","56"
"2019","","BRONX","Crashes With Vehicular Factors","Tow Hitch Defective","4"
"2019","","BRONX","Crashes With Vehicular Factors","Windshield Inadequate","2"
"2019","","BRONX","Crashes With Vehicular Factors","Other Vehicular","1,251"
"2019","","BRONX","Crashes With Environmental Factors","Animal's Action","31"
"2019","","BRONX","Crashes With Environmental Factors","Glare","108"
"2019","","BRONX","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","15"
"2019","","BRONX","Crashes With Environmental Factors","Obstruction/Debris","82"
"2019","","BRONX","Crashes With Environmental Factors","Pavement Defective","33"
"2019","","BRONX","Crashes With Environmental Factors","Pavement Slippery","352"
"2019","","BRONX","Crashes With Environmental Factors","Shoulders Defective/Improper","5"
"2019","","BRONX","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","13"
"2019","","BRONX","Crashes With Environmental Factors","View Obstructed/Limited","408"
"2019","","KINGS","Crashes With Human Factors","Aggressive Driving/Road Rage","382"
"2019","","KINGS","Crashes With Human Factors","Alcohol Involvement","641"
"2019","","KINGS","Crashes With Human Factors","Backing Unsafely","1,368"
"2019","","KINGS","Crashes With Human Factors","Cell Phone (hand held)","46"
"2019","","KINGS","Crashes With Human Factors","Cell Phone (hands-free)","8"
"2019","","KINGS","Crashes With Human Factors","Driver Inattention/Distraction","11,552"
"2019","","KINGS","Crashes With Human Factors","Driver Inexperience","1,327"
"2019","","KINGS","Crashes With Human Factors","Drugs (Illegal)","42"
"2019","","KINGS","Crashes With Human Factors","Eating or Drinking","13"
"2019","","KINGS","Crashes With Human Factors","Failure to Keep Right","109"
"2019","","KINGS","Crashes With Human Factors","Failure to Yield Right-of-Way","4,765"
"2019","","KINGS","Crashes With Human Factors","Fatigued/Drowsy","95"
"2019","","KINGS","Crashes With Human Factors","Fell Asleep","221"
"2019","","KINGS","Crashes With Human Factors","Following Too Closely","4,721"
"2019","","KINGS","Crashes With Human Factors","Illness","69"
"2019","","KINGS","Crashes With Human Factors","Listening/Using Headphones","12"
"2019","","KINGS","Crashes With Human Factors","Lost Consciousness","79"
"2019","","KINGS","Crashes With Human Factors","Other Electronic Device","7"
"2019","","KINGS","Crashes With Human Factors","Outside Car Distraction","155"
"2019","","KINGS","Crashes With Human Factors","Passenger Distraction","157"
"2019","","KINGS","Crashes With Human Factors","Passing/Lane Changing/Improper Use","5,526"
"2019","","KINGS","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","793"
"2019","","KINGS","Crashes With Human Factors","Physical Disability","27"
"2019","","KINGS","Crashes With Human Factors","Prescription Medication","11"
"2019","","KINGS","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","693"
"2019","","KINGS","Crashes With Human Factors","Texting","6"
"2019","","KINGS","Crashes With Human Factors","Traffic Control Device Disregarded","1,488"
"2019","","KINGS","Crashes With Human Factors","Turning Improperly","1,302"
"2019","","KINGS","Crashes With Human Factors","Unsafe Speed","1,460"
"2019","","KINGS","Crashes With Human Factors","Using On Board Navigation Device","8"
"2019","","KINGS","Crashes With Human Factors","Other Human","."
"2019","","KINGS","Crashes With Vehicular Factors","Accelerator Defective","44"
"2019","","KINGS","Crashes With Vehicular Factors","Brakes Defective","272"
"2019","","KINGS","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","35"
"2019","","KINGS","Crashes With Vehicular Factors","Headlights Defective","5"
"2019","","KINGS","Crashes With Vehicular Factors","Other Lighting Defects","9"
"2019","","KINGS","Crashes With Vehicular Factors","Oversized Vehicle","343"
"2019","","KINGS","Crashes With Vehicular Factors","Steering Failure","103"
"2019","","KINGS","Crashes With Vehicular Factors","Tinted Windows","21"
"2019","","KINGS","Crashes With Vehicular Factors","Tire Failure/Inadequate","62"
"2019","","KINGS","Crashes With Vehicular Factors","Tow Hitch Defective","3"
"2019","","KINGS","Crashes With Vehicular Factors","Windshield Inadequate","."
"2019","","KINGS","Crashes With Vehicular Factors","Other Vehicular","1,165"
"2019","","KINGS","Crashes With Environmental Factors","Animal's Action","37"
"2019","","KINGS","Crashes With Environmental Factors","Glare","105"
"2019","","KINGS","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","38"
"2019","","KINGS","Crashes With Environmental Factors","Obstruction/Debris","83"
"2019","","KINGS","Crashes With Environmental Factors","Pavement Defective","53"
"2019","","KINGS","Crashes With Environmental Factors","Pavement Slippery","540"
"2019","","KINGS","Crashes With Environmental Factors","Shoulders Defective/Improper","1"
"2019","","KINGS","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","33"
"2019","","KINGS","Crashes With Environmental Factors","View Obstructed/Limited","633"
"2019","","NASSAU","Crashes With Human Factors","Aggressive Driving/Road Rage","89"
"2019","","NASSAU","Crashes With Human Factors","Alcohol Involvement","516"
"2019","","NASSAU","Crashes With Human Factors","Backing Unsafely","2,276"
"2019","","NASSAU","Crashes With Human Factors","Cell Phone (hand held)","46"
"2019","","NASSAU","Crashes With Human Factors","Cell Phone (hands-free)","10"
"2019","","NASSAU","Crashes With Human Factors","Driver Inattention/Distraction","2,359"
"2019","","NASSAU","Crashes With Human Factors","Driver Inexperience","396"
"2019","","NASSAU","Crashes With Human Factors","Drugs (Illegal)","77"
"2019","","NASSAU","Crashes With Human Factors","Eating or Drinking","8"
"2019","","NASSAU","Crashes With Human Factors","Failure to Keep Right","208"
"2019","","NASSAU","Crashes With Human Factors","Failure to Yield Right-of-Way","9,146"
"2019","","NASSAU","Crashes With Human Factors","Fatigued/Drowsy","105"
"2019","","NASSAU","Crashes With Human Factors","Fell Asleep","296"
"2019","","NASSAU","Crashes With Human Factors","Following Too Closely","11,876"
"2019","","NASSAU","Crashes With Human Factors","Illness","110"
"2019","","NASSAU","Crashes With Human Factors","Listening/Using Headphones","1"
"2019","","NASSAU","Crashes With Human Factors","Lost Consciousness","88"
"2019","","NASSAU","Crashes With Human Factors","Other Electronic Device","11"
"2019","","NASSAU","Crashes With Human Factors","Outside Car Distraction","77"
"2019","","NASSAU","Crashes With Human Factors","Passenger Distraction","95"
"2019","","NASSAU","Crashes With Human Factors","Passing/Lane Changing/Improper Use","8,839"
"2019","","NASSAU","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","264"
"2019","","NASSAU","Crashes With Human Factors","Physical Disability","21"
"2019","","NASSAU","Crashes With Human Factors","Prescription Medication","16"
"2019","","NASSAU","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","989"
"2019","","NASSAU","Crashes With Human Factors","Texting","7"
"2019","","NASSAU","Crashes With Human Factors","Traffic Control Device Disregarded","1,476"
"2019","","NASSAU","Crashes With Human Factors","Turning Improperly","2,609"
"2019","","NASSAU","Crashes With Human Factors","Unsafe Speed","1,957"
"2019","","NASSAU","Crashes With Human Factors","Using On Board Navigation Device","16"
"2019","","NASSAU","Crashes With Human Factors","Other Human","37"
"2019","","NASSAU","Crashes With Vehicular Factors","Accelerator Defective","23"
"2019","","NASSAU","Crashes With Vehicular Factors","Brakes Defective","161"
"2019","","NASSAU","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","44"
"2019","","NASSAU","Crashes With Vehicular Factors","Headlights Defective","5"
"2019","","NASSAU","Crashes With Vehicular Factors","Other Lighting Defects","9"
"2019","","NASSAU","Crashes With Vehicular Factors","Oversized Vehicle","172"
"2019","","NASSAU","Crashes With Vehicular Factors","Steering Failure","99"
"2019","","NASSAU","Crashes With Vehicular Factors","Tinted Windows","3"
"2019","","NASSAU","Crashes With Vehicular Factors","Tire Failure/Inadequate","111"
"2019","","NASSAU","Crashes With Vehicular Factors","Tow Hitch Defective","9"
"2019","","NASSAU","Crashes With Vehicular Factors","Windshield Inadequate","1"
"2019","","NASSAU","Crashes With Vehicular Factors","Other Vehicular","263"
"2019","","NASSAU","Crashes With Environmental Factors","Animal's Action","104"
"2019","","NASSAU","Crashes With Environmental Factors","Glare","325"
"2019","","NASSAU","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","24"
"2019","","NASSAU","Crashes With Environmental Factors","Obstruction/Debris","163"
"2019","","NASSAU","Crashes With Environmental Factors","Pavement Defective","32"
"2019","","NASSAU","Crashes With Environmental Factors","Pavement Slippery","1,543"
"2019","","NASSAU","Crashes With Environmental Factors","Shoulders Defective/Improper","7"
"2019","","NASSAU","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","23"
"2019","","NASSAU","Crashes With Environmental Factors","View Obstructed/Limited","461"
"2019","","NASSAU","Crashes With Environmental Factors","Other Environmental","3"
"2019","","NEW YORK","Crashes With Human Factors","Aggressive Driving/Road Rage","216"
"2019","","NEW YORK","Crashes With Human Factors","Alcohol Involvement","268"
"2019","","NEW YORK","Crashes With Human Factors","Backing Unsafely","776"
"2019","","NEW YORK","Crashes With Human Factors","Cell Phone (hand held)","30"
"2019","","NEW YORK","Crashes With Human Factors","Cell Phone (hands-free)","7"
"2019","","NEW YORK","Crashes With Human Factors","Driver Inattention/Distraction","7,609"
"2019","","NEW YORK","Crashes With Human Factors","Driver Inexperience","785"
"2019","","NEW YORK","Crashes With Human Factors","Drugs (Illegal)","26"
"2019","","NEW YORK","Crashes With Human Factors","Eating or Drinking","7"
"2019","","NEW YORK","Crashes With Human Factors","Failure to Keep Right","56"
"2019","","NEW YORK","Crashes With Human Factors","Failure to Yield Right-of-Way","2,108"
"2019","","NEW YORK","Crashes With Human Factors","Fatigued/Drowsy","39"
"2019","","NEW YORK","Crashes With Human Factors","Fell Asleep","66"
"2019","","NEW YORK","Crashes With Human Factors","Following Too Closely","2,916"
"2019","","NEW YORK","Crashes With Human Factors","Illness","37"
"2019","","NEW YORK","Crashes With Human Factors","Listening/Using Headphones","7"
"2019","","NEW YORK","Crashes With Human Factors","Lost Consciousness","38"
"2019","","NEW YORK","Crashes With Human Factors","Other Electronic Device","6"
"2019","","NEW YORK","Crashes With Human Factors","Outside Car Distraction","104"
"2019","","NEW YORK","Crashes With Human Factors","Passenger Distraction","247"
"2019","","NEW YORK","Crashes With Human Factors","Passing/Lane Changing/Improper Use","4,700"
"2019","","NEW YORK","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","703"
"2019","","NEW YORK","Crashes With Human Factors","Physical Disability","12"
"2019","","NEW YORK","Crashes With Human Factors","Prescription Medication","6"
"2019","","NEW YORK","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","495"
"2019","","NEW YORK","Crashes With Human Factors","Texting","5"
"2019","","NEW YORK","Crashes With Human Factors","Traffic Control Device Disregarded","673"
"2019","","NEW YORK","Crashes With Human Factors","Turning Improperly","822"
"2019","","NEW YORK","Crashes With Human Factors","Unsafe Speed","585"
"2019","","NEW YORK","Crashes With Human Factors","Using On Board Navigation Device","15"
"2019","","NEW YORK","Crashes With Human Factors","Vehicle Vandalism","1"
"2019","","NEW YORK","Crashes With Human Factors","Other Human","3"
"2019","","NEW YORK","Crashes With Vehicular Factors","Accelerator Defective","7"
"2019","","NEW YORK","Crashes With Vehicular Factors","Brakes Defective","114"
"2019","","NEW YORK","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","20"
"2019","","NEW YORK","Crashes With Vehicular Factors","Headlights Defective","5"
"2019","","NEW YORK","Crashes With Vehicular Factors","Other Lighting Defects","3"
"2019","","NEW YORK","Crashes With Vehicular Factors","Oversized Vehicle","263"
"2019","","NEW YORK","Crashes With Vehicular Factors","Steering Failure","22"
"2019","","NEW YORK","Crashes With Vehicular Factors","Tinted Windows","12"
"2019","","NEW YORK","Crashes With Vehicular Factors","Tire Failure/Inadequate","36"
"2019","","NEW YORK","Crashes With Vehicular Factors","Tow Hitch Defective","7"
"2019","","NEW YORK","Crashes With Vehicular Factors","Windshield Inadequate","2"
"2019","","NEW YORK","Crashes With Vehicular Factors","Other Vehicular","908"
"2019","","NEW YORK","Crashes With Environmental Factors","Animal's Action","10"
"2019","","NEW YORK","Crashes With Environmental Factors","Glare","37"
"2019","","NEW YORK","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","20"
"2019","","NEW YORK","Crashes With Environmental Factors","Obstruction/Debris","56"
"2019","","NEW YORK","Crashes With Environmental Factors","Pavement Defective","48"
"2019","","NEW YORK","Crashes With Environmental Factors","Pavement Slippery","249"
"2019","","NEW YORK","Crashes With Environmental Factors","Shoulders Defective/Improper","1"
"2019","","NEW YORK","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","16"
"2019","","NEW YORK","Crashes With Environmental Factors","View Obstructed/Limited","317"
"2019","","PUTNAM","Crashes With Human Factors","Aggressive Driving/Road Rage","7"
"2019","","PUTNAM","Crashes With Human Factors","Alcohol Involvement","87"
"2019","","PUTNAM","Crashes With Human Factors","Backing Unsafely","123"
"2019","","PUTNAM","Crashes With Human Factors","Cell Phone (hand held)","10"
"2019","","PUTNAM","Crashes With Human Factors","Cell Phone (hands-free)","1"
"2019","","PUTNAM","Crashes With Human Factors","Driver Inattention/Distraction","237"
"2019","","PUTNAM","Crashes With Human Factors","Driver Inexperience","38"
"2019","","PUTNAM","Crashes With Human Factors","Drugs (Illegal)","8"
"2019","","PUTNAM","Crashes With Human Factors","Eating or Drinking","2"
"2019","","PUTNAM","Crashes With Human Factors","Failure to Keep Right","69"
"2019","","PUTNAM","Crashes With Human Factors","Failure to Yield Right-of-Way","292"
"2019","","PUTNAM","Crashes With Human Factors","Fatigued/Drowsy","14"
"2019","","PUTNAM","Crashes With Human Factors","Fell Asleep","38"
"2019","","PUTNAM","Crashes With Human Factors","Following Too Closely","541"
"2019","","PUTNAM","Crashes With Human Factors","Illness","8"
"2019","","PUTNAM","Crashes With Human Factors","Lost Consciousness","10"
"2019","","PUTNAM","Crashes With Human Factors","Other Electronic Device","4"
"2019","","PUTNAM","Crashes With Human Factors","Outside Car Distraction","7"
"2019","","PUTNAM","Crashes With Human Factors","Passenger Distraction","3"
"2019","","PUTNAM","Crashes With Human Factors","Passing/Lane Changing/Improper Use","327"
"2019","","PUTNAM","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","7"
"2019","","PUTNAM","Crashes With Human Factors","Physical Disability","2"
"2019","","PUTNAM","Crashes With Human Factors","Prescription Medication","2"
"2019","","PUTNAM","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","105"
"2019","","PUTNAM","Crashes With Human Factors","Texting","."
"2019","","PUTNAM","Crashes With Human Factors","Traffic Control Device Disregarded","53"
"2019","","PUTNAM","Crashes With Human Factors","Turning Improperly","96"
"2019","","PUTNAM","Crashes With Human Factors","Unsafe Speed","450"
"2019","","PUTNAM","Crashes With Human Factors","Using On Board Navigation Device","1"
"2019","","PUTNAM","Crashes With Vehicular Factors","Accelerator Defective","."
"2019","","PUTNAM","Crashes With Vehicular Factors","Brakes Defective","21"
"2019","","PUTNAM","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","4"
"2019","","PUTNAM","Crashes With Vehicular Factors","Headlights Defective","2"
"2019","","PUTNAM","Crashes With Vehicular Factors","Other Lighting Defects","."
"2019","","PUTNAM","Crashes With Vehicular Factors","Oversized Vehicle","11"
"2019","","PUTNAM","Crashes With Vehicular Factors","Steering Failure","6"
"2019","","PUTNAM","Crashes With Vehicular Factors","Tinted Windows","."
"2019","","PUTNAM","Crashes With Vehicular Factors","Tire Failure/Inadequate","32"
"2019","","PUTNAM","Crashes With Vehicular Factors","Tow Hitch Defective","."
"2019","","PUTNAM","Crashes With Vehicular Factors","Windshield Inadequate","."
"2019","","PUTNAM","Crashes With Vehicular Factors","Other Vehicular","38"
"2019","","PUTNAM","Crashes With Environmental Factors","Animal's Action","274"
"2019","","PUTNAM","Crashes With Environmental Factors","Glare","26"
"2019","","PUTNAM","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","2"
"2019","","PUTNAM","Crashes With Environmental Factors","Obstruction/Debris","60"
"2019","","PUTNAM","Crashes With Environmental Factors","Pavement Defective","7"
"2019","","PUTNAM","Crashes With Environmental Factors","Pavement Slippery","240"
"2019","","PUTNAM","Crashes With Environmental Factors","Shoulders Defective/Improper","2"
"2019","","PUTNAM","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","."
"2019","","PUTNAM","Crashes With Environmental Factors","View Obstructed/Limited","54"
"2019","","QUEENS","Crashes With Human Factors","Aggressive Driving/Road Rage","341"
"2019","","QUEENS","Crashes With Human Factors","Alcohol Involvement","590"
"2019","","QUEENS","Crashes With Human Factors","Backing Unsafely","1,609"
"2019","","QUEENS","Crashes With Human Factors","Cell Phone (hand held)","42"
"2019","","QUEENS","Crashes With Human Factors","Cell Phone (hands-free)","8"
"2019","","QUEENS","Crashes With Human Factors","Driver Inattention/Distraction","14,580"
"2019","","QUEENS","Crashes With Human Factors","Driver Inexperience","1,383"
"2019","","QUEENS","Crashes With Human Factors","Drugs (Illegal)","26"
"2019","","QUEENS","Crashes With Human Factors","Eating or Drinking","7"
"2019","","QUEENS","Crashes With Human Factors","Failure to Keep Right","92"
"2019","","QUEENS","Crashes With Human Factors","Failure to Yield Right-of-Way","6,093"
"2019","","QUEENS","Crashes With Human Factors","Fatigued/Drowsy","138"
"2019","","QUEENS","Crashes With Human Factors","Fell Asleep","255"
"2019","","QUEENS","Crashes With Human Factors","Following Too Closely","6,763"
"2019","","QUEENS","Crashes With Human Factors","Illness","90"
"2019","","QUEENS","Crashes With Human Factors","Listening/Using Headphones","2"
"2019","","QUEENS","Crashes With Human Factors","Lost Consciousness","98"
"2019","","QUEENS","Crashes With Human Factors","Other Electronic Device","10"
"2019","","QUEENS","Crashes With Human Factors","Outside Car Distraction","121"
"2019","","QUEENS","Crashes With Human Factors","Passenger Distraction","123"
"2019","","QUEENS","Crashes With Human Factors","Passing/Lane Changing/Improper Use","6,087"
"2019","","QUEENS","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","583"
"2019","","QUEENS","Crashes With Human Factors","Physical Disability","34"
"2019","","QUEENS","Crashes With Human Factors","Prescription Medication","5"
"2019","","QUEENS","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","1,169"
"2019","","QUEENS","Crashes With Human Factors","Texting","2"
"2019","","QUEENS","Crashes With Human Factors","Traffic Control Device Disregarded","1,658"
"2019","","QUEENS","Crashes With Human Factors","Turning Improperly","1,502"
"2019","","QUEENS","Crashes With Human Factors","Unsafe Speed","1,806"
"2019","","QUEENS","Crashes With Human Factors","Using On Board Navigation Device","7"
"2019","","QUEENS","Crashes With Human Factors","Other Human","1"
"2019","","QUEENS","Crashes With Vehicular Factors","Accelerator Defective","45"
"2019","","QUEENS","Crashes With Vehicular Factors","Brakes Defective","273"
"2019","","QUEENS","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","34"
"2019","","QUEENS","Crashes With Vehicular Factors","Headlights Defective","5"
"2019","","QUEENS","Crashes With Vehicular Factors","Other Lighting Defects","5"
"2019","","QUEENS","Crashes With Vehicular Factors","Oversized Vehicle","249"
"2019","","QUEENS","Crashes With Vehicular Factors","Steering Failure","108"
"2019","","QUEENS","Crashes With Vehicular Factors","Tinted Windows","10"
"2019","","QUEENS","Crashes With Vehicular Factors","Tire Failure/Inadequate","108"
"2019","","QUEENS","Crashes With Vehicular Factors","Tow Hitch Defective","8"
"2019","","QUEENS","Crashes With Vehicular Factors","Windshield Inadequate","1"
"2019","","QUEENS","Crashes With Vehicular Factors","Other Vehicular","1,087"
"2019","","QUEENS","Crashes With Environmental Factors","Animal's Action","54"
"2019","","QUEENS","Crashes With Environmental Factors","Glare","155"
"2019","","QUEENS","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","60"
"2019","","QUEENS","Crashes With Environmental Factors","Obstruction/Debris","80"
"2019","","QUEENS","Crashes With Environmental Factors","Pavement Defective","58"
"2019","","QUEENS","Crashes With Environmental Factors","Pavement Slippery","788"
"2019","","QUEENS","Crashes With Environmental Factors","Shoulders Defective/Improper","4"
"2019","","QUEENS","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","25"
"2019","","QUEENS","Crashes With Environmental Factors","View Obstructed/Limited","575"
"2019","","RICHMOND","Crashes With Human Factors","Aggressive Driving/Road Rage","45"
"2019","","RICHMOND","Crashes With Human Factors","Alcohol Involvement","143"
"2019","","RICHMOND","Crashes With Human Factors","Backing Unsafely","185"
"2019","","RICHMOND","Crashes With Human Factors","Cell Phone (hand held)","7"
"2019","","RICHMOND","Crashes With Human Factors","Cell Phone (hands-free)","1"
"2019","","RICHMOND","Crashes With Human Factors","Driver Inattention/Distraction","2,257"
"2019","","RICHMOND","Crashes With Human Factors","Driver Inexperience","208"
"2019","","RICHMOND","Crashes With Human Factors","Drugs (Illegal)","16"
"2019","","RICHMOND","Crashes With Human Factors","Eating or Drinking","4"
"2019","","RICHMOND","Crashes With Human Factors","Failure to Keep Right","31"
"2019","","RICHMOND","Crashes With Human Factors","Failure to Yield Right-of-Way","694"
"2019","","RICHMOND","Crashes With Human Factors","Fatigued/Drowsy","32"
"2019","","RICHMOND","Crashes With Human Factors","Fell Asleep","80"
"2019","","RICHMOND","Crashes With Human Factors","Following Too Closely","1,026"
"2019","","RICHMOND","Crashes With Human Factors","Illness","26"
"2019","","RICHMOND","Crashes With Human Factors","Lost Consciousness","37"
"2019","","RICHMOND","Crashes With Human Factors","Other Electronic Device","4"
"2019","","RICHMOND","Crashes With Human Factors","Outside Car Distraction","26"
"2019","","RICHMOND","Crashes With Human Factors","Passenger Distraction","10"
"2019","","RICHMOND","Crashes With Human Factors","Passing/Lane Changing/Improper Use","664"
"2019","","RICHMOND","Crashes With Human Factors","Pedestrian/Bicyclist Error/Confusion","86"
"2019","","RICHMOND","Crashes With Human Factors","Physical Disability","8"
"2019","","RICHMOND","Crashes With Human Factors","Prescription Medication","7"
"2019","","RICHMOND","Crashes With Human Factors","Reaction to Other Uninvolved Vehicle","189"
"2019","","RICHMOND","Crashes With Human Factors","Texting","1"
"2019","","RICHMOND","Crashes With Human Factors","Traffic Control Device Disregarded","232"
"2019","","RICHMOND","Crashes With Human Factors","Turning Improperly","200"
"2019","","RICHMOND","Crashes With Human Factors","Unsafe Speed","345"
"2019","","RICHMOND","Crashes With Human Factors","Using On Board Navigation Device","3"
"2019","","RICHMOND","Crashes With Vehicular Factors","Accelerator Defective","6"
"2019","","RICHMOND","Crashes With Vehicular Factors","Brakes Defective","53"
"2019","","RICHMOND","Crashes With Vehicular Factors","Driverless/Runaway Vehicle","7"
"2019","","RICHMOND","Crashes With Vehicular Factors","Headlights Defective","1"
"2019","","RICHMOND","Crashes With Vehicular Factors","Other Lighting Defects","2"
"2019","","RICHMOND","Crashes With Vehicular Factors","Oversized Vehicle","25"
"2019","","RICHMOND","Crashes With Vehicular Factors","Steering Failure","31"
"2019","","RICHMOND","Crashes With Vehicular Factors","Tinted Windows","3"
"2019","","RICHMOND","Crashes With Vehicular Factors","Tire Failure/Inadequate","29"
"2019","","RICHMOND","Crashes With Vehicular Factors","Tow Hitch Defective","2"
"2019","","RICHMOND","Crashes With Vehicular Factors","Windshield Inadequate","."
"2019","","RICHMOND","Crashes With Vehicular Factors","Other Vehicular","140"
"2019","","RICHMOND","Crashes With Environmental Factors","Animal's Action","64"
"2019","","RICHMOND","Crashes With Environmental Factors","Glare","54"
"2019","","RICHMOND","Crashes With Environmental Factors","Lane Marking Improper/Inadequate","3"
"2019","","RICHMOND","Crashes With Environmental Factors","Obstruction/Debris","17"
"2019","","RICHMOND","Crashes With Environmental Factors","Pavement Defective","8"
"2019","","RICHMOND","Crashes With Environmental Factors","Pavement Slippery","214"
"2019","","RICHMOND","Crashes With Environmental Factors","Shoulders Defective/Improper","."
"2019","","RICHMOND","Crashes With Environmental Factors","Traffic Control Device Improper/Non-Working","3"
"2019","","RICHMOND","Crashes With Environmental Factors","View Obstructed/Limited","90"
"2019","","ROCKLAND","Crashes With Human Factors","Aggressive Driving/Road Rage","22"
"2019","","ROCKLAND","Crashes With Human Factors","Alcohol Involvement","138"
"2019","","ROCKLAND","Crashes With Human Factors","Backing Unsafely","398"
"2019","","ROCKLAND","Crashes With Human Factors","Cell Phone (hand held)","17"
"2019","","ROCKLAND","Crashes With Human Factors","Cell Phone (hands-free)","5"
"2019","","ROCKLAND","Crashes With Human Factors","Driver Inattention/Distraction","1,190"
"2019","","ROCKLAND","Crashes With Human Factors","Driver Inexperience","159"
"2019","","ROCKLAND","Crashes With Human Factors","Drugs (Illegal)","18"
"2019","","ROCKLAND","Crashes With Human Factors","Eating or Drinking","5"
"2019","","ROCKLAND","Crashes With Human Factors","Failure to Keep Right","82"
"2019","","ROCKLAND","Crashes With Human Factors","Failure to Yield Right-of-Way","1,241"
"2019","","ROCKLAND","Crashes With Human Factors","Fatigued/Drowsy","28"
"2019","","ROCKLAND","Crashes With Human Factors","Fell Asleep","72"
"2019","","ROCKLAND","Crashes With Human Factors","Following Too Closely","1,921"
"2019","","ROCKLAND","Crashes With Human Factors","Illness","30"
